1,Classical Fusion,Starlight Pavilion,Chicago,2025-02-15,Isabella White
2,Rock Legends,Sunset Arena,Barcelona,2025-02-08,Michael Thompson
3,Jazz Night,Harmony Stadium,Chicago,2025-03-29,Sophia Anderson
4,Pop Extravaganza,Echo Park,Los Angeles,2025-02-22,Ava Wilson
5,Symphony of Dreams,Moonlight Dome,Chicago,2025-03-15,Sophia Anderson
6,Symphony of Dreams,Moonlight Dome,Los Angeles,2025-03-08,Michael Thompson
7,Jazz Night,Starlight Pavilion,Tokyo,2025-03-15,James Martinez
8,Jazz Night,Sunset Arena,Tokyo,2025-03-08,Sophia Anderson
9,Classical Fusion,Sunset Arena,Tokyo,2025-04-05,Ava Wilson
10,Classical Fusion,Starlight Pavilion,Tokyo,2025-03-01,Michael Thompson
11,Classical Fusion,Sunset Arena,Sydney,2025-02-01,Isabella White
12,Symphony of Dreams,Starlight Pavilion,Barcelona,2025-02-01,Ava Wilson
13,Pop Extravaganza,Sunset Arena,Tokyo,2025-02-22,Sophia Anderson
14,Symphony of Dreams,Starlight Pavilion,Barcelona,2025-03-15,James Martinez
15,Classical Fusion,Harmony Stadium,Los Angeles,2025-03-29,Sophia Anderson
16,Jazz Night,Starlight Pavilion,Chicago,2025-03-15,Ava Wilson
17,Symphony of Dreams,Sunset Arena,Chicago,2025-04-05,Sophia Anderson
18,Classical Fusion,Echo Park,Los Angeles,2025-02-08,Sophia Anderson
19,Jazz Night,Echo Park,Chicago,2025-02-01,Isabella White
20,Symphony of Dreams,Moonlight Dome,Los Angeles,2025-02-08,Ava Wilson
